category,subcategory,keywords,description,primary_response_team,supporting_response_teams,default_severity,requires_evacuation,affected_infrastructure,dummy_primary_contact_number,dummy_support_contact_number,follow_up_questions,immediate_actions,escalation_triggers,max_followup_questions,cascade_to
Hazardous Chemical Leak or Toxic Gas Release,Corrosive Chemical Spill,"acid spill, chemical spill, corrosive spill, alkali spill, bleach spill, sulfuric acid, hydrochloric acid, caustic soda, chemical burn, hazardous liquid, industrial spill, lab spill",Spill of acid alkali or another corrosive material,Fire HAZMAT Unit,Ambulance/EMS; Decontamination Team; Environmental Authority; Police,High,Yes,Water Supply; Soil; Roads,+1-202-555-0201,+1-202-555-0202,"What chemical was spilled (acid, alkali, bleach)? | Has anyone been exposed or burned? | Is the spill contained or spreading? | Is it near a drain or water source?",Do not touch the spill | Flush exposed skin with large amounts of water | Call HAZMAT | Contain the spill if safe | Keep people away,"burned, skin burn, exposed, multiple people, casualties, eyes",2,
Hazardous Chemical Leak or Toxic Gas Release,Tanker or Transport Spill,"tanker spill, truck spill, chemical truck, hazmat truck, rail spill, chemical train, transport leak, lorry spill, vehicle chemical leak, road chemical spill, overturned tanker",Hazardous substance released from a road rail or other transport vehicle,Fire HAZMAT Unit,Police; Ambulance/EMS; Transport Authority; Environmental Authority,Critical,Yes,Roads; Rail; Waterways,+1-202-555-0201,+1-202-555-0501,What substance is the tanker carrying? | Is the vehicle on fire? | Is the spill reaching drains or waterways? | Is traffic stopped?,Keep 300m distance | Call HAZMAT and Police | Do not allow vehicles through | Move upwind | Alert environmental authority if near water,"fire, explosion, casualties, river, water supply, large spill, spreading",2,Toxic Gas Leak; Oil or Chemical Spill at Sea
Hazardous Chemical Leak or Toxic Gas Release,Laboratory Incident,"lab accident, laboratory fire, chemical lab, school lab, hospital lab, research lab, lab explosion, lab spill, chemical exposure lab, biohazard lab, lab contamination",Chemical release fire or exposure at a school hospital or research laboratory,Fire HAZMAT Unit,Ambulance/EMS; Police; Facility Emergency Team,High,Possible,Building; Air Quality,+1-202-555-0201,+1-202-555-0102,"What type of lab (school, hospital, research)? | What chemical or agent was involved? | Are people injured or exposed? | Is the lab sealed?",Evacuate the lab and adjacent rooms | Seal the lab if possible | Call HAZMAT and facility emergency team | Do not touch any spilled material,"exposed, casualties, fire, explosion, biohazard, radiation",2,Biohazard or Infectious Outbreak
Hazardous Chemical Leak or Toxic Gas Release,Radiation or Nuclear Incident,"radiation leak, nuclear incident, radioactive spill, radiation exposure, nuclear plant, reactor leak, radioactive material, radiation warning, geiger counter, nuclear emergency, dirty bomb",Release or exposure to radioactive material requiring specialist containment,Radiation Emergency Team; Fire HAZMAT Unit,Ambulance/EMS; Police; Nuclear Safety Authority; Decontamination Team,Critical,Yes,Air Quality; Water Supply; Building,+1-202-555-0201,+1-202-555-0202,"What is the source of radiation (plant, transport, device)? | Are people showing radiation sickness symptoms? | Has an official warning been issued? | What is the distance from the source?",Move as far away as possible | Shelter indoors if evacuation not possible | Close all windows and doors | Do not consume local food or water | Await official instructions,"exposed, symptoms, nausea, vomiting, radiation sickness, multiple people, casualties",1,
Hazardous Chemical Leak or Toxic Gas Release,Biohazard or Infectious Outbreak,"biohazard, biological hazard, infectious outbreak, disease outbreak, contamination, pathogen release, anthrax, biological agent, quarantine, infection spread, public health emergency",Release of biological agents or rapid spread of infectious disease,Public Health Authority; Fire HAZMAT Unit,Ambulance/EMS; Police; Decontamination Team; Environmental Authority,Critical,Yes,Building; Water Supply; Air Quality,+1-202-555-0201,+1-202-555-0202,"What is the suspected agent or disease? | How many people are showing symptoms? | Is the source known (lab, animal, person)? | Is the area quarantined?",Isolate affected individuals | Call Public Health Authority | Avoid contact with bodily fluids | Wear mask and gloves if available | Do not leave the quarantine zone,"multiple sick, spreading, casualties, deaths, hospital overwhelmed, quarantine breach",2,
Flash Flooding and Infrastructure Failure,Urban Flash Flood,"flash flood, flooding, flood, street flooding, road flooded, water rising, homes flooded, flood warning, flood alert, water in streets, city flood, town flood, neighbourhood flood",Rapid flooding of streets homes or commercial areas,Disaster Management; Fire Water Rescue,Ambulance/EMS; Police; Public Works; Weather Authority,Critical,Yes,Roads; Buildings; Drainage,+1-202-555-0301,+1-202-555-0302,Is water still rising? | Are people trapped in homes or vehicles? | Is the road out accessible? | Are there downed power lines in the water?,Move to higher ground immediately | Do not walk or drive through floodwater | Turn off electricity at the mains | Call Disaster Management | Stay away from drains and rivers,"trapped, swept away, drowning, people in water, rising fast, casualties, children",2,People or Vehicles Stranded in Water; Power Infrastructure Failure
Flash Flooding and Infrastructure Failure,People or Vehicles Stranded in Water,"stranded in water, trapped in flood, car in water, vehicle submerged, person in flood, swept away, water rescue, stuck in flood, flood rescue, drowning in flood, caught in current, vehicle drowned, car drowned, drowned vehicle, vehicle sank, car sank",Person vehicle or group trapped by fast-moving or rising water,Fire Water Rescue; Disaster Management,Ambulance/EMS; Police; Coast Guard; Water Rescue Unit,Critical,Yes,Roads; Waterways,+1-202-555-0301,+1-202-555-0102,How many people are stranded? | Is the water still rising or moving fast? | Are they in a vehicle or on foot? | What is their exact location?,Call Water Rescue immediately | Do not enter fast-moving water to help | Keep the stranded person calm and visible | Throw a rope or flotation device if available,"drowning, swept away, sinking, submerged, multiple, passengers, children, elderly, casualties",1,
Flash Flooding and Infrastructure Failure,Road or Bridge Washout,"bridge washed out, road washed away, bridge collapse flood, road damage flood, culvert failure, bridge unsafe, road impassable flood, flood road damage, bridge flooded, road erosion",Road bridge or culvert damaged or destroyed by floodwater,Public Works; Disaster Management,Police Traffic Control; Fire and Rescue; Ambulance/EMS,High,Yes,Roads; Bridges,+1-202-555-0701,+1-202-555-0301,Is the road or bridge completely impassable? | Are vehicles or people on the damaged section? | Is water still flowing over it? | What is the location?,Block access to the damaged road or bridge | Call Public Works and Police | Do not attempt to cross | Redirect traffic | Report exact GPS location,"vehicle fell, people on bridge, casualties, swept away",2,People or Vehicles Stranded in Water
Flash Flooding and Infrastructure Failure,Drain or Sewer Overflow,"sewer overflow, drain overflow, sewage flooding, blocked drain, drain backup, sewage in street, manhole overflow, sewer backup, sanitation overflow, sewage smell, drain blocked",Drainage or sewage system overflow causing local flooding and sanitation risk,Public Works; Water and Sanitation Authority,Fire and Rescue; Environmental Health Team; Police,High,Possible,Drainage; Sewage; Roads,+1-202-555-0701,+1-202-555-0702,Is sewage visible on the street? | Is it entering homes or buildings? | How widespread is the overflow? | Is it near a school or hospital?,Avoid contact with floodwater (sewage contamination) | Call Water and Sanitation Authority | Keep children away | Disinfect any exposed surfaces,"child fell, person in drain, casualties",3,
Flash Flooding and Infrastructure Failure,Power Infrastructure Failure,"power outage, blackout, electricity down, power cut, substation failure, power lines down, no electricity, grid failure, transformer fire, power failure, electricity fault, storm power damage",Electrical substations lines or local power supply damaged by flood or storm,Electric Utility,Fire and Rescue; Police; Disaster Management,High,Possible,Electricity; Communications,+1-202-555-0401,+1-202-555-0101,"Is the outage affecting a single building or a wider area? | Are there downed power lines? | Is critical infrastructure (hospital, water plant) affected? | Was it caused by flooding or storm?",Do not touch downed power lines | Call Electric Utility | Use torches not candles | Unplug sensitive equipment | Check on vulnerable neighbours,"hospital, life support, electrocution, downed lines, casualties",3,
Flash Flooding and Infrastructure Failure,Water Supply Failure,"no water, water outage, water cut, water supply down, burst pipe, water main break, no tap water, water pressure loss, water contamination, water treatment failure, water disruption",Drinking water distribution or treatment service disrupted,Water Authority; Public Works,Environmental Health Team; Disaster Management; Ambulance/EMS,Medium,No,Water Supply,+1-202-555-0702,+1-202-555-0701,Is there no water at all or just low pressure? | Is the water discoloured or smelling? | How many households are affected? | Is a hospital or care facility impacted?,Use bottled water for drinking | Do not drink tap water if contaminated | Call Water Authority | Conserve existing water supply,"hospital, dialysis, contaminated, sick, casualties",4,
Flash Flooding and Infrastructure Failure,Dam or Levee Breach,"dam break, dam failure, levee breach, levee failure, reservoir overflow, dam collapse, flood barrier failure, embankment breach, dam burst, water release from dam",Structural failure of a dam levee or flood barrier causing downstream flooding,Disaster Management; Water Authority,Fire Water Rescue; Police; Ambulance/EMS; Public Works,Critical,Yes,Water Supply; Roads; Buildings; Bridges,+1-202-555-0301,+1-202-555-0701,Has an official breach warning been issued? | How far downstream are you? | Is evacuation already underway? | Are roads out still open?,Evacuate immediately to high ground | Do not wait for official order if water is rising | Call Disaster Management | Do not attempt to cross flooded roads,"breached, collapsed, water rushing, downstream flooding, casualties, trapped",1,Urban Flash Flood; People or Vehicles Stranded in Water
Flash Flooding and Infrastructure Failure,Landslide or Mudslide,"landslide, mudslide, mudflow, rockslide, slope failure, hillside collapse, earth movement, debris flow, ground movement, mud on road, rocks on road, slope collapse",Rapid movement of earth rock or mud blocking roads or threatening structures,Disaster Management; Fire and Rescue,Ambulance/EMS; Police; Public Works; Geotechnical Authority,High,Yes,Roads; Buildings; Bridges,+1-202-555-0301,+1-202-555-0701,"Is the slide still moving? | Are people or buildings buried? | Is the road blocked? | Is there a risk of further slides (ongoing rain, unstable slope)?",Move away from the slide path | Call Disaster Management and Fire and Rescue | Do not attempt to dig out victims without USAR | Watch for secondary slides,"buried, trapped, casualties, house buried, people missing",2,Partial Building Collapse
Major Public Transit Disaster,Train Derailment,"train derailed, train off tracks, derailment, train accident, freight train derailed, passenger train derailed, train crash off track, rail accident, train overturned",Passenger or freight train leaves the tracks,Transit or Rail Control Centre; Fire and Rescue,Ambulance/EMS; Police; USAR; Rail Authority,Critical,Yes,Rail; Roads; Electricity,+1-202-555-0501,+1-202-555-0101,Is the train carrying passengers or freight? | Are there casualties? | Is the train on fire or leaking fuel? | Is the track near a populated area?,Call Rail Control and Emergency Services | Evacuate passengers away from the train | Do not move seriously injured passengers | Keep clear of the track,"passengers, casualties, injured, trapped, fire, multiple, derailed",2,Mass Casualty Event
Major Public Transit Disaster,Train Collision,"train crash, train collision, trains collided, train hit, train impact, head-on train, rear-end train, train smash, rail collision, train accident collision",Two trains or a train and another object collide,Transit or Rail Control Centre; Fire and Rescue,Ambulance/EMS; Police; USAR; Rail Authority,Critical,Yes,Rail; Roads; Electricity,+1-202-555-0501,+1-202-555-0101,How many trains were involved? | Are there casualties? | Is there a fire? | Is the collision in a tunnel or open track?,Call Rail Control and Emergency Services | Evacuate passengers | Administer first aid if trained | Keep the area clear for emergency vehicles,"casualties, injured, trapped, fire, multiple, passengers",1,Mass Casualty Event
Major Public Transit Disaster,Metro or Tunnel Incident,"metro accident, subway accident, underground fire, tunnel fire, metro derailed, subway crash, metro collision, tunnel collapse, underground emergency, metro evacuation, subway smoke",Collision fire derailment or evacuation inside a metro system or tunnel,Transit Control Centre; Fire and Rescue,Ambulance/EMS; Police; USAR; Ventilation and Utility Team,Critical,Yes,Metro; Tunnel; Electricity,+1-202-555-0501,+1-202-555-0101,Is there smoke or fire in the tunnel? | Are passengers evacuating or trapped? | Is the power to the track switched off? | Which station or tunnel section?,Move away from smoke | Do not use elevators | Follow emergency lighting to exits | Call Transit Control | Do not walk on the track unless instructed,"smoke, fire, trapped, casualties, power on, passengers stuck",2,Mass Casualty Event
Major Public Transit Disaster,Major Bus Crash,"bus crash, bus accident, bus collision, bus overturned, coach crash, bus hit, bus rollover, double decker crash, school bus crash, bus fire, bus passengers injured",Large bus crash involving multiple passengers or vehicles,Police; Fire and Rescue,Ambulance/EMS; Traffic Management; Transport Authority,High,Possible,Roads; Traffic,+1-202-555-0601,+1-202-555-0101,How many passengers were on board? | Are there casualties? | Is the bus on fire or blocking traffic? | Is it a school bus?,Call emergency services | Do not move seriously injured passengers | Keep traffic away | Administer first aid if trained | Secure the scene,"casualties, injured, trapped, fire, multiple, passengers, school bus, children",2,Mass Casualty Event
Major Public Transit Disaster,Station Fire or Evacuation,"station fire, station evacuation, train station fire, bus station fire, metro station fire, smoke in station, station emergency, platform fire, terminal fire, station bomb threat, station panic",Fire smoke panic or a hazardous incident at a bus train or metro station,Fire and Rescue; Transit Control Centre,Ambulance/EMS; Police; Transport Authority,Critical,Yes,Station; Rail; Electricity,+1-202-555-0101,+1-202-555-0501,"Which station and which part (platform, concourse)? | Is the fire spreading? | Are passengers evacuating? | Is anyone trapped?",Evacuate via nearest exit | Do not use elevators | Follow staff instructions | Call Fire and Rescue | Move away from the station entrance,"trapped, casualties, stampede, crush, multiple, spreading",2,Crowd Crush or Stampede
Major Public Transit Disaster,Transit Vehicle in Water,"bus in water, train in water, bus submerged, vehicle in flood, transit flood, bus swept away, train flooded, coach in river, bus in river, transit vehicle flood, vehicle drowned with passengers, bus drowned, passengers drowned, drowned bus, vehicle sank with passengers",Bus train or other transit vehicle trapped or submerged in floodwater,Fire Water Rescue; Transit Control Centre,Ambulance/EMS; Police; Disaster Management,Critical,Yes,Roads; Rail; Waterways,+1-202-555-0301,+1-202-555-0501,Is the vehicle fully submerged or partially? | Are passengers still inside? | Is the water still rising? | What is the exact location?,Call Water Rescue immediately | Do not enter the water unless trained | Break windows only if doors cannot open | Keep passengers calm and together,"passengers, drowning, submerged, sinking, trapped, multiple, children, water rising",1,People or Vehicles Stranded in Water; Mass Casualty Event
Major Public Transit Disaster,Aviation Incident,"plane crash, aircraft crash, helicopter crash, aviation accident, plane down, aircraft emergency, emergency landing, plane fire, aircraft collision, airport emergency, flight accident",Aircraft crash or emergency landing causing casualties or infrastructure damage,Aviation Authority; Fire and Rescue,Ambulance/EMS; Police; USAR; Airport Emergency Team,Critical,Yes,Airport; Roads; Buildings,+1-202-555-0501,+1-202-555-0101,Has the aircraft crashed or made an emergency landing? | Is there a fire? | How many people were on board? | What is the location?,Call Aviation Authority and Emergency Services | Keep clear of the crash site | Do not approach fuel spills | Follow airport emergency procedures if at airport,"crashed, fire, casualties, passengers, multiple, explosion",1,Mass Casualty Event
Mass Casualty and Public Safety Incident,Mass Casualty Event,"mass casualty, multiple injured, mass injury, many victims, multiple casualties, mass trauma, disaster victims, large scale injury, mass shooting, stampede, crowd crush, multiple fatalities",Incident resulting in a large number of casualties requiring coordinated medical response,Ambulance/EMS; Police,Fire and Rescue; Disaster Management; Hospital Emergency; Military Support,Critical,Yes,Roads; Buildings; Communications,+1-202-555-0102,+1-202-555-0601,"What caused the casualties (accident, attack, collapse)? | How many people are injured? | Is the scene still dangerous? | Is medical help on the way?",Call emergency services immediately | Do not move critically injured people | Apply pressure to bleeding wounds | Keep the area clear for ambulances | Triage: help those who can be saved first,"multiple, many, casualties, dead, dying, injured, mass, crowd",1,
Mass Casualty and Public Safety Incident,Terrorist Attack or Bombing,"terrorist attack, bomb, bombing, explosion attack, terror threat, IED, suicide bomb, attack, armed attack, mass shooting, active shooter, terror incident, security threat",Deliberate attack causing casualties or infrastructure damage,Police; Counter-Terrorism Unit,Ambulance/EMS; Fire and Rescue; Military; Intelligence Services; USAR,Critical,Yes,Building; Roads; Communications; Transport,+1-202-555-0601,+1-202-555-0101,"Was it an explosion, shooting, or vehicle attack? | Is the attacker still active? | Are there secondary devices? | What is the location?","Run, Hide, Tell — evacuate if safe | Do not touch suspicious objects | Call Police immediately | Stay low if there is shooting | Do not return to the scene","bomb, explosion, shooting, attack, casualties, dead, injured, device",1,Active Shooter or Armed Threat; Mass Casualty Event
Mass Casualty and Public Safety Incident,Active Shooter or Armed Threat,"active shooter, gunman, shooting, armed person, gun threat, shots fired, armed attack, gunfire, sniper, hostage, armed robbery, weapon threat",Armed individual posing immediate threat to public safety,Police; SWAT,Ambulance/EMS; Fire and Rescue; Crisis Negotiation Team,Critical,Yes,Building; Roads,+1-202-555-0601,+1-202-555-0102,Where is the shooter now? | Are you in a safe location? | How many people are with you? | Is anyone injured?,Run if you can escape safely | Hide and barricade if you cannot run | Stay silent — silence your phone | Call Police when safe | Do not confront the shooter,"shooter, gunfire, shots, armed, hostage, weapon, attack",1,
Mass Casualty and Public Safety Incident,Crowd Crush or Stampede,"crowd crush, stampede, crowd surge, crowd collapse, crowd panic, festival crush, stadium crush, crowd trampled, crowd emergency, crowd incident, mass panic",Dangerous crowd compression or uncontrolled movement causing injuries,Police; Event Security,Ambulance/EMS; Fire and Rescue; Disaster Management,High,Yes,Roads; Buildings; Stadium,+1-202-555-0601,+1-202-555-0102,Are you currently in the crowd? | Is the crowd still moving or has it stopped? | Are people falling? | Is there an exit nearby?,Move sideways to the edge of the crowd | Do not fight the crowd flow | Protect your chest — keep arms up | Call for help when clear | Help fallen people only when safe,"falling, trampled, crush, cannot breathe, people down, casualties",1,Mass Casualty Event
Mass Casualty and Public Safety Incident,Missing Person or Search and Rescue,"missing person, lost person, search and rescue, person missing, child missing, hiker lost, missing child, person not found, search operation, rescue operation, missing in wilderness",Search and rescue operation for missing or lost individuals,Police; Search and Rescue Team,Ambulance/EMS; Fire and Rescue; Coast Guard; Volunteer SAR,High,No,Roads; Wilderness; Waterways,+1-202-555-0601,+1-202-555-0301,How long has the person been missing? | What is their age and physical description? | Where were they last seen? | Do they have a medical condition?,Call Police immediately | Do not disturb the last known location | Share a recent photo | Search nearby areas in groups | Keep phone charged and on,"child, baby, dementia, medical condition, water, cliff, wilderness, night",3,
Natural Disaster,Earthquake,"earthquake, tremor, seismic, quake, ground shaking, aftershock, seismic activity, earth tremor, building shaking, ground movement earthquake, magnitude quake",Seismic event causing ground shaking structural damage or casualties,Disaster Management; Fire and Rescue; USAR,Ambulance/EMS; Police; Building Safety Authority; Public Works,Critical,Yes,Building; Roads; Bridges; Gas; Electricity; Water Supply,+1-202-555-0301,+1-202-555-0101,Are you currently indoors or outdoors? | Is the shaking still happening? | Are there structural damages or collapses nearby? | Are gas or water lines broken?,"Drop, Cover, Hold On during shaking | Move away from buildings after shaking stops | Check for gas leaks — do not use flames | Expect aftershocks | Call Disaster Management","trapped, building collapsed, casualties, gas smell, fire, multiple, buried",2,Partial Building Collapse; Gas Main Rupture; Landslide or Mudslide; Tsunami
Natural Disaster,Tsunami,"tsunami, tidal wave, seismic wave, ocean wave, coastal flood, wave surge, tsunami warning, tsunami alert, wave inundation",Large ocean wave caused by seismic activity threatening coastal areas,Disaster Management; Coast Guard,Ambulance/EMS; Police; Fire Water Rescue; Weather Authority,Critical,Yes,Coastal Infrastructure; Roads; Buildings,+1-202-555-0301,+1-202-555-0302,Have you felt an earthquake or received a tsunami warning? | How far are you from the coast? | Is the sea receding unusually? | Is evacuation underway?,Move inland and to high ground immediately | Do not wait to see the wave | Do not return to the coast until all-clear | Follow official evacuation routes,"wave coming, sea receding, warning issued, wave seen, coastal, flooding",1,Coastal Flooding; People or Vehicles Stranded in Water
Natural Disaster,Severe Storm or Cyclone,"storm, cyclone, hurricane, typhoon, severe weather, high winds, storm damage, wind damage, tornado, twister, hailstorm, severe thunderstorm, storm warning, gale force winds",Extreme weather event causing widespread damage and risk to life,Disaster Management; Weather Authority,Fire and Rescue; Ambulance/EMS; Police; Public Works; Electric Utility,Critical,Yes,Buildings; Roads; Power Lines; Communications,+1-202-555-0301,+1-202-555-0302,Has an official warning been issued? | Are you in a safe structure? | Are there downed power lines or flooding? | Do you need to evacuate?,Stay indoors away from windows | Secure loose outdoor objects | Have emergency kit ready | Monitor official weather updates | Evacuate if in a flood-prone area,"roof gone, trapped, casualties, flooding, power lines down, cannot evacuate",2,Urban Flash Flood; Power Infrastructure Failure
Natural Disaster,Extreme Heat Event,"heatwave, extreme heat, heat emergency, heat stroke, heat exhaustion, high temperature emergency, heat related illness, heat alert, dangerous heat, heat wave warning",Prolonged extreme heat causing health emergencies and infrastructure stress,Public Health Authority; Disaster Management,Ambulance/EMS; Police; Electric Utility; Water Authority,High,No,Electricity; Water Supply; Public Health,+1-202-555-0302,+1-202-555-0702,"Is anyone showing signs of heat stroke (confusion, no sweating, high temperature)? | Do you have access to water and shade? | Are vulnerable people (elderly, children) affected?",Move to a cool or air-conditioned space | Drink water regularly | Apply cool wet cloths to heat stroke victims | Call ambulance for heat stroke — it is life-threatening | Avoid outdoor activity,"heat stroke, unconscious, not sweating, confusion, collapsed, casualties, elderly, child",2,
